artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,pos
Grateful Dead,Help on the Way - 2017 Remaster,Grateful Dead Records Collection (2017 Remaster),Album,2017-11-24,"Mississippi Half-Step Uptown Toodeloo - 2017 Remaster (05:44)/Let Me Sing Your Blues Away - 2017 Remaster (03:18)/Row Jimmy - 2017 Remaster (07:14)/Stella Blue - 2017 Remaster (06:23)/Here Comes Sunshine - 2017 Remaster (04:40)/Eyes of the World - 2017 Remaster (05:20)/Weather Report Suite - 2017 Remaster (12:42)/U.S. Blues - 2017 Remaster (04:39)/China Doll - 2017 Remaster (04:11)/Unbroken Chain - 2017 Remaster (06:45)/Loose Lucy - 2017 Remaster (03:22)/Scarlet Begonias - 2017 Remaster (04:19)/Pride of Cucamonga - 2017 Remaster (04:17)/Money Money - 2017 Remaster (04:24)/Ship of Fools - 2017 Remaster (05:29)/Help on the Way - 2017 Remaster (03:11)/Slipknot! - 2017 Remaster (04:09)/Franklin's Tower - 2017 Remaster (04:34)/King Solomon's Marbles - 2017 Remaster (05:16)/The Music Never Stopped - 2017 Remaster (04:33)/Crazy Fingers - 2017 Remaster (06:42)/Sage & Spirit - 2017 Remaster (03:07)/Blues for Allah - 2017 Remaster (12:33)/The Promised Land - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (03:18)/Cold Rain & Snow - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (05:37)/Around and Around - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (05:05)/Stella Blue - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (08:47)/Mississippi Half-Step Uptown Toodeloo - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (08:02)/Ship of Fools - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (07:03)/Beat It on down the Line - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (03:20)/Big River - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (04:55)/Black-Throated Wind - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (06:06)/U.S. Blues - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (05:20)/El Paso - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (04:15)/Sugaree - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (07:34)/It Must Have Been the Roses - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (06:00)/Casey Jones - Live at Winterland, San Francisco, CA 10/16-20/74; 2017 Remaster (07:03",https://i.scdn.co/image/ab67616d00001e02314e985cd461b0ac3fb3866c,Psychedelic Rock/Acid Rock,Grateful Dead,617.0
Thelonious Monk,Don't Blame Me - Live,The Columbia Years,Compilation,1962,"Monk Speaks (00:04)/Bye-Ya (05:58)/Coming On the Hudson - Take 3 (07:31)/Rhythm-A-Ning - Take 2 (03:53)/Think of One - Take 2 (06:03)/Pannonica - Take 2 (06:45)/Crepuscule with Nellie (02:44)/April In Paris - Take 6 (07:59)/Ugly Beauty - Take 5 (10:44)/Honeysuckle Rose - Take 1 (07:03)/In Walked Bud (06:48)/Thelonious - Take 3 (03:10)/Reflections - Take 6 (04:34)/Blue Monk - Take 2 (05:16)/'Round Midnight - Take 2 (03:48)/Dinah (Take 2) (02:28)/Ask Me Now - Take 1 (03:42)/Ruby, My Dear - Take 1 (04:44)/Don't Blame Me - Live (05:46)/(When It's) Darkness on the Delta - Live [Lincoln Center] (05:05)/Played Twice - Live [Lincoln Center] (07:31)/I Mean You - Live [Lincoln Center] (12:46)/Bemsha Swing - Live [Tokyo] (04:26)/Jackie-ing - Live [Tokyo] (05:02)/Nutty - Live (13:51)/Straight, No Chaser - Live (11:15)/Evidence - Live [Stockholm] (09:00)/Epistrophy - Live [Stockholm] (05:33)/Well, You Needn't - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (09:16)/Misterioso - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (08:21)/Hackensack - Live [The Jazz Workshop], 2001 (07:58)/Bright Mississippi - Live (08:11",https://i.scdn.co/image/ab67616d00001e028689831eae23f5844ef3354b,Jazz/Bebop/Hard Bop/Cool Jazz,"Monk, Thelonious",508.0
Camille Saint-Saëns,"Le Carnaval des Animaux, R.125: 6. Kangourous",Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,Album,1980-01-01,"Le Carnaval des Animaux, R.125: 1. Introduction et Marche royale du Lion (02:21)/Le Carnaval des Animaux, R.125: 2. Poules et Coqs (00:56)/Le Carnaval des Animaux, R.125: 3. Hémiones (Animaux véloces) (00:30)/Le Carnaval des Animaux, R.125: 4. Tortues (02:16)/Le Carnaval des Animaux, R.125: 5. L'Eléphant (01:30)/Le Carnaval des Animaux, R.125: 6. Kangourous (00:56)/Le Carnaval des Animaux, R. 125: 7. Aquarium (02:31)/Le Carnaval des Animaux, R.125: 8. Personnages à longues oreilles (00:44)/Le Carnaval des Animaux, R.125: 9. Le coucou au fond des bois (02:33)/Le Carnaval des Animaux, R.125: 10. Volières (01:11)/Le Carnaval des Animaux, R.125: 11. Pianistes (01:20)/Le Carnaval des Animaux, R. 125: 12. Fossiles (01:19)/Le Carnaval des Animaux, R. 125: 13. Le Cygne (02:45)/Le Carnaval des Animaux, R. 125: 14. Finale (01:53)/Phaéton, Op. 39 (09:06)/Le Rouet d'Omphale, Op. 31 (07:47)/Danse macabre, Op. 40 (07:08",https://i.scdn.co/image/ab67616d00001e029a2fcc14dae33d3870ab736d,Classical,"Saint-Saëns, Camille",314.0
Creedence Clearwater Revival,Down On The Corner - Jam With Booker T.,Willy And The Poor Boys (Expanded Edition),Album,1969-11-02,Down On The Corner (02:46)/It Came Out Of The Sky (02:55)/Cotton Fields (02:57)/Poorboy Shuffle (02:24)/Feelin' Blue (05:06)/Fortunate Son (02:20)/Don't Look Now (02:11)/Midnight Special (04:13)/Side O' The Road (03:24)/Effigy (06:27)/Fortunate Son - Live (02:15)/It Came Out Of The Sky - Live (03:27)/Down On The Corner - Jam With Booker T. (02:48,https://i.scdn.co/image/ab67616d00001e029f39192f9f8ca1c90847b3e5,Classic Rock/Southern Rock/Country Rock,Creedence Clearwater Revival,302.0
Jean-Michel Jarre,"Équinoxe, Pt. 1",Équinoxe,Album,1978-11-13,"Équinoxe, Pt. 1 (02:23)/Équinoxe, Pt. 2 (05:02)/Equinoxe, Pt. 3 (04:59)/Equinoxe, Pt. 4 (07:05)/Équinoxe, Pt. 5 (03:52)/Equinoxe, Pt. 6 (02:46)/Equinoxe, Pt. 7 (07:48)/Équinoxe, Pt. 8 (05:09",https://i.scdn.co/image/ab67616d00001e02f619577e1dcf88e7e64565be,New Age/Electronic/Space Music,"Jarre, Jean-Michel",0.0
PJ Harvey,Dear Darkness,White Chalk,Album,2007-01-01,The Devil (02:55)/Dear Darkness (03:09)/Grow Grow Grow (03:21)/When Under Ether (02:22)/White Chalk (03:06)/Broken Harp (01:57)/Silence (03:05)/To Talk To You (04:00)/The Piano (02:36)/Before Departure (03:45)/The Mountain (03:10,https://i.scdn.co/image/ab67616d00001e020a9216322932919f518cdc27,Art Pop/Singer-songwriter,"Harvey, PJ",18.0
Kraan,Bandits In The Woods,Let It Out,Album,1975,Bandits In The Woods (04:19)/Luftpost (05:18)/Degado (04:58)/Prima Klima (04:44)/Let It Out (06:15)/Die Maschine (04:45)/Heimweh nach Übersee (03:12)/Picnic International (05:22,https://i.scdn.co/image/ab67616d00001e026de83574600d65f662645979,Krautrock/Progressive Rock/Space Rock/Jazz Fusion,Kraan,0.0
King Crimson,Neal And Jack And Me,Beat,Album,1982-06-18,Neal And Jack And Me (04:22)/Heartbeat (03:54)/Sartori in Tangier (03:34)/Waiting Man (04:27)/Neurotica (04:48)/Two Hands (03:23)/The Howler (04:12)/Requiem (06:42)/Absent Lovers (04:14)/Neurotica/The Howler (Live in Philadelphia) (10:15,https://i.scdn.co/image/ab67616d00001e0213f0fbd1d0cc07d80df11a51,Progressive Rock/Art Rock/Symphonic Rock/Psychedelic Rock,King Crimson,0.0
Premiata Forneria Marconi,Photos Of Ghosts,Photos Of Ghosts,Album,1973,River Of Life (07:01)/Celebration (03:53)/Photos Of Ghosts (05:23)/Old Rain (03:41)/Il banchetto (08:36)/Mr 9 'Till 5 (04:11)/Promenade The Puzzle (07:30,https://i.scdn.co/image/ab67616d00001e02461adb93745fcd0ff126cf0b,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock,Premiata Forneria Marconi,42.0
Judas Priest,Between the Hammer & the Anvil,Painkiller,Album,1990-09-26,Painkiller (06:05)/Hell Patrol (03:36)/All Guns Blazing (03:57)/Leather Rebel (03:34)/Metal Meltdown (04:47)/Night Crawler (05:44)/Between the Hammer & the Anvil (04:49)/A Touch of Evil (05:44)/Battle Hymn (00:56)/One Shot at Glory (06:48)/Living Bad Dreams (05:21)/Leather Rebel - Live (03:39,https://i.scdn.co/image/ab67616d00001e0260db4ca924d17bc6754e89aa,Heavy Metal/Metal/Hard Rock/Glam Metal/Speed Metal,Judas Priest,131.0
The Rolling Stones,All Down The Line,Exile On Main Street (2010 Re-Mastered),Album,1972-05-12,Rocks Off (04:31)/Rip This Joint (02:23)/Shake Your Hips (02:59)/Casino Boogie (03:34)/Tumbling Dice (03:46)/Sweet Virginia (04:26)/Torn And Frayed (04:17)/Sweet Black Angel (02:57)/Loving Cup (04:24)/Happy (03:04)/Turd On The Run (02:37)/Ventilator Blues (03:24)/I Just Want To See His Face (02:52)/Let It Loose (05:17)/All Down The Line (03:49)/Stop Breaking Down (04:34)/Shine A Light (04:16)/Soul Survivor (03:48,https://i.scdn.co/image/ab67616d00001e02ba42bfcfeed19018b1f8cab8,Classic Rock/Rock,"Rolling Stones, The",321.0
J.J. Cale,Low Rider,Number 10,Album,1992-11-10,Lonesome Train (03:08)/Digital Blues (03:30)/Feeling In Love (03:19)/Artificial Paradise (04:04)/Passion (02:23)/Take Out Some Insurance (02:40)/Jailer (02:45)/Low Rider (02:44)/Traces (03:25)/She's In Love (03:41)/Shady Grove (03:55)/Roll On Mama (02:41,https://i.scdn.co/image/ab67616d00001e027ff5b6286693b808a62d965c,Blues/Blues Rock/Roots Rock,"Cale, J.J.",160.0
Epica,Divide and Conquer,The Holographic Principle,Album,2016-09-30,"Eidola (02:39)/Edge of the Blade (04:34)/A Phantasmic Parade (04:36)/Universal Death Squad (06:38)/Divide and Conquer (07:48)/Beyond the Matrix (06:26)/Once Upon a Nightmare (07:08)/The Cosmic Algorithm (04:54)/Ascension - Dream State Armageddon (05:16)/Dancing in a Hurricane (05:26)/Tear Down Your Walls (05:03)/The Holographic Principle - A Profound Understanding of Reality (11:35)/Beyond the Good, the Bad and the Ugly (04:29)/Dancing in a Gypsy Camp (04:28)/Immortal Melancholy - Acoustic Version (03:13)/The Funky Algorithm (03:30)/Universal Love Squad (03:45",https://i.scdn.co/image/ab67616d00001e02ed61b35b8be8a4c8f9f7cd1e,Symphonic Metal/Gothic Metal/Power Metal/Metal/Folk Metal/Gothic Rock,Epica,99.0
Frank Zappa,Cheap Thrills,Cruising With Ruben & The Jets,Album,1968-12-02,Cheap Thrills (02:39)/Love Of My Life (03:08)/How Could I Be Such A Fool (03:34)/Deseri (02:08)/I'm Not Satisfied (04:08)/Jelly Roll Gum Drop (02:24)/Anything (03:05)/Later That Night (03:00)/You Didn't Try To Call Me (03:57)/Fountain Of Love (03:22)/No. No. No. (02:15)/Anyway The Wind Blows (03:01)/Stuff Up The Cracks (04:39,https://i.scdn.co/image/ab67616d00001e02f8d437fbe39a921c433d03c8,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock,"Zappa, Frank",0.0
Gianna Nannini,Silenzio,Sei nel l'anima,Album,2024-03-22,1983 (04:10)/Silenzio (02:53)/Io voglio te (04:25)/Lento lontano (03:23)/Filo spinato (03:11)/Tutta la vita (03:09)/Il buio nei miei occhi (I 'd rather go blind) (04:26)/Bang (04:05)/Maledetta confusione (03:05)/Ciao è meglio di goodbye (03:45)/Stupida emozione (03:20)/Mi mancava una canzone che parlasse di te (04:30,https://i.scdn.co/image/ab67616d00001e0211c9ec45cf3c6551d8520c70,Italo Dance/Italian Singer-songwriter,"Nannini, Gianna",13.0
Led Zeppelin,Carouselambra - Remaster,In Through the out Door (Remaster),Album,1979-08-15,In the Evening - Remaster (06:53)/South Bound Saurez - Remaster (04:13)/Fool in the Rain - Remaster (06:10)/Hot Dog - Remaster (03:18)/Carouselambra - Remaster (10:34)/All My Love - Remaster (05:53)/I'm Gonna Crawl - Remaster (05:31,https://i.scdn.co/image/ab67616d00001e0215aa25b0b3b972a7be623605,Classic Rock/Rock/Hard Rock/Rock And Roll,Led Zeppelin,135.0
The Beatles,If I Needed Someone - Remastered 2009,Rubber Soul (Remastered),Album,1965-12-03,Drive My Car - Remastered 2009 (02:28)/Norwegian Wood (This Bird Has Flown) - Remastered 2009 (02:04)/You Won't See Me - Remastered 2009 (03:19)/Nowhere Man - Remastered 2009 (02:43)/Think For Yourself - Remastered 2009 (02:18)/The Word - Remastered 2009 (02:43)/Michelle - Remastered 2009 (02:42)/What Goes On - Remastered 2009 (02:48)/Girl - Remastered 2009 (02:31)/I'm Looking Through You - Remastered 2009 (02:26)/In My Life - Remastered 2009 (02:26)/Wait - Remastered 2009 (02:14)/If I Needed Someone - Remastered 2009 (02:22)/Run For Your Life - Remastered 2009 (02:21,https://i.scdn.co/image/ab67616d00001e02ed801e58a9ababdea6ac7ce4,Classic Rock/Psychedelic Rock,"Beatles, The",486.0
Haken,The Endless Knot - Live in Amsterdam 2017,L-1VE (Live in Amsterdam 2017),Album,2018-06-22,affinity.exe/Initiate - Live in Amsterdam 2017 (06:00)/In Memoriam - Live in Amsterdam 2017 (04:42)/1985 - Live in Amsterdam 2017 (09:21)/Red Giant - Live in Amsterdam 2017 (06:31)/Aquamedley - Live in Amsterdam 2017 (22:28)/As Death Embraces - Live in Amsterdam 2017 (03:51)/Atlas Stone - Live in Amsterdam 2017 (07:12)/Cockroach King - Live in Amsterdam 2017 (08:17)/The Architect - Live in Amsterdam 2017 (15:59)/The Endless Knot - Live in Amsterdam 2017 (06:34)/Visions - Live in Amsterdam 2017 (23:34,https://i.scdn.co/image/ab67616d00001e0286b11c84ac233c696dc38d50,Progressive Metal/Progressive Rock/Djent/Metal,Haken,416.0
Phish,It's Ice,Phish: Chicago '94,Album,1994,Wilson (05:10)/Rift (05:54)/AC/DC Bag (06:31)/Maze (11:22)/The Mango Song (07:25)/Down With Disease (07:14)/It's Ice (08:38)/Dog Faced Boy (02:17)/Divided Sky (14:34)/Sample In A Jar (05:12)/Peaches en Regalia (04:05)/David Bowie (18:26)/Horn (04:07)/McGrupp And The Watchful Hosemasters (09:04)/Tweezer (14:15)/Lifeboy (08:23)/You Enjoy Myself (20:57)/Chalk Dust Torture (07:21)/Bouncing Around The Room (03:39)/Tweezer Reprise (03:19)/All Things Reconsidered (03:41)/How Many More Times (03:51)/Poor Heart (02:22)/Llama (05:34)/Guelah Papyrus (05:45)/Reba (14:08)/Bouncing Around The Room (03:40)/Split Open And Melt (11:15)/Esther (08:48)/Julius (07:27)/Golgi Apparatus (04:47)/2001 (04:50)/Mike's Song (07:23)/Simple (14:23)/Harpua (15:58)/Weekapaug Groove (10:31)/The Mango Song (07:22)/Purple Rain (05:43)/Hold Your Head Up (01:05)/Run Like An Antelope (13:11)/Good Times Bad Times (05:54)/Chicago '94 Soundcheck Jam (08:22)/Dog Log (04:58,https://i.scdn.co/image/ab67616d00001e02e3f3b24aa01fcc13c2574483,Jam Band,Phish,108.0
The Pretty Things,Mr. Evasion,S.F. Sorrow,Album,1968-12,S.F. Sorrow Is Born (03:12)/Bracelets Of Fingers (03:41)/She Says Good Morning (03:23)/Private Sorrow (03:51)/Balloon Burning (03:51)/Death (03:05)/Baron Saturday (04:01)/The Journey (02:46)/I See You (03:56)/Well Of Destiny (01:46)/Trust (02:49)/Old Man Going (03:09)/Loneliest Person (01:29)/Defecting Grey (04:30)/Mr. Evasion (03:31)/Talkin' About The Good Times (03:45)/Walking Through My Dreams (03:46,https://i.scdn.co/image/ab67616d00001e026acd594c130d56790f39f0e5,Psychedelic Rock/Acid Rock/Proto-punk/Garage Rock/Psychedelic Pop,"Pretty Things, The",317.0
Eric Dolphy,Straight Up And Down - Remastered 1998/Rudy Van Gelder Edition,Out To Lunch (The Rudy Van Gelder Edition),Album,1964-09-01,"Hat And Beard (08:24)/Something Sweet, Something Tender - Remastered 1998/Rudy Van Gelder Edition (06:03)/Gazzelloni - Remastered 1998/Rudy Van Gelder Edition (07:23)/Out To Lunch - Remastered 1998/Rudy Van Gelder Edition (12:09)/Straight Up And Down - Remastered 1998/Rudy Van Gelder Edition (08:19",https://i.scdn.co/image/ab67616d00001e02897c908969917eb7d620e0d1,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,"Dolphy, Eric",230.0
Steely Dan,Do It Again - Live 1974,Everlasting Summer (Live),Album,2023-10-19,Bodhisattva - Live 1974 (04:49)/The Boston Rag - Live 1974 (06:04)/Do It Again - Live 1974 (07:41)/Any Major Dude Will Tell You - Live 1974 (03:12)/King Of The World - Live 1974 (05:07)/Rikki Don't Lose That Number - Live 1974 (04:04)/Pretzel Logic - Live 1974 (05:26)/Your Gold Teeth ll - Live 1974 (05:32)/Reelin' In The Years - Live 1974 (04:26)/This All Too Mobile Home - Live 1974 (05:10,https://i.scdn.co/image/ab67616d00001e029e92e439b4d9788f4919f844,Classic Rock,Steely Dan,67.0
King Gizzard & The Lizard Wizard,Deserted Dunes Welcome Weary Feet,Polygondwanaland,Album,2017-11-17,Crumbling Castle (10:44)/Polygondwanaland (03:32)/The Castle in the Air (02:47)/Deserted Dunes Welcome Weary Feet (03:33)/Inner Cell (03:55)/Loyalty (03:38)/Horology (02:52)/Tetrachromacy (03:30)/Searching… (03:03)/The Fourth Colour (06:12,https://i.scdn.co/image/ab67616d00001e0294102a4d79f35042dc3bcc8a,Psychedelic Rock/Acid Rock/Psychedelic Pop,King Gizzard & The Lizard Wizard,80.0
Banco Del Mutuo Soccorso,La città sottile,Io Sono Nato Libero,Album,1973-05-31,Canto nomade per un prigioniero politico (15:47)/Non mi rompete (05:07)/La città sottile (07:13)/Dopo...niente e' più lo stesso (09:54)/Traccia II (02:39,https://i.scdn.co/image/ab67616d00001e027ece70db55914c784d3080e0,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock,Banco Del Mutuo Soccorso,72.0
Franco Battiato,Plancton,Pollution,Album,1973-01-01,Il silenzio del rumore / 31 Dicembre 1999 - Ore 9 (03:08)/Areknames (05:07)/Beta (07:24)/Plancton (05:03)/Pollution / Ti sei mai chiesto quale funzione hai? (12:23,https://i.scdn.co/image/ab67616d00001e0265ad2036979d31a7e87814fe,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",89.0
Horace Silver,Song For My Father,Song For My Father,Album,1999-01-01,Song For My Father (07:18)/The Natives Are Restless Tonight - Rudy Van Gelder Edition/1999 Digital Remaster (06:10)/Calcutta Cutie - Rudy Van Gelder Edition/1999 Digital Remaster (08:31)/Que Pasa - Rudy Van Gelder Edition/1999 Digital Remaster (07:47)/The Kicker - Rudy Van Gelder Edition/1999 Digital Remaster (05:26)/Lonely Woman - Remastered 1999/Rudy Van Gelder Edition (07:02)/Sanctimonious Sam - Rudy Van Gelder Edition/1999 Digital Remaster (03:55)/Que Pasa - Remastered 1999/Rudy Van Gelder Edition (05:38)/Sighin' And Cryin' - Rudy Van Gelder Edition/1999 Digital Remaster (05:25)/Silver Treads Among The Soul - Rudy Van Gelder Edition/1999 Digital Remaster (03:53,https://i.scdn.co/image/ab67616d00001e029453839d1e3569bdebc9ffab,Hard Bop/Jazz/Bebop/Cool Jazz/Soul Jazz,"Silver, Horace",0.0
Jethro Tull,Aqualung,Aqualung (Special Edition),Album,1971-03-19,Aqualung (06:36)/Cross-Eyed Mary (04:10)/Cheap Day Return (01:20)/Mother Goose (03:52)/Wond'ring Aloud (01:53)/Up to Me (03:14)/My God (07:11)/Hymn 43 (03:16)/Slipstream (01:11)/Locomotive Breath (04:26)/Wind-Up (06:00)/Lick Your Fingers Clean (02:46)/Wind-Up (05:23)/Ian Anderson Interview (13:58,https://i.scdn.co/image/ab67616d00001e02be6e758fe8300a72eceddb8f,Progressive Rock/Symphonic Rock/Art Rock/Classic Rock,Jethro Tull,0.0
Logos,Antifona,L'enigma Della Vita,Album,2014-04-25,Antifona (02:03)/Venivo Da Un Lungo Sonno (09:11)/In Fuga (05:41)/Alla Fine Dell'ultimo Capitolo (09:20)/N.A.S. (07:45)/L'enigma Della Vita (07:23)/In Principio (11:27)/Completamente Estranei (07:08)/In Quale Luogo Si Fermò Il Mio Tempo (02:32)/Pioggia in Campagna (10:28)/Il Rumore Dell'aria (02:58,https://i.scdn.co/image/ab67616d00001e024a068365405d564e386b556d,Progressive Rock/Art Rock,Logos,0.0
Deodato,San Juan Sunset,Love Island,Album,1978,"Area Code 808 (06:44)/Whistle Bump (04:32)/Tahitti Hut (04:27)/San Juan Sunset (04:15)/Love Island (06:40)/Chariot of the Gods (03:09)/Pina Colada (05:55)/Take the ""A"" Train (03:49",https://i.scdn.co/image/ab67616d00001e02838380761b418699c935e058,Jazz Funk/Brazilian Jazz/Jazz Fusion,Deodato,63.0
Frank Zappa,Uncle Meat: Main Title Theme,Uncle Meat,Album,1969-04-21,"Uncle Meat: Main Title Theme (01:56)/The Voice Of Cheese (00:26)/Nine Types Of Industrial Pollution (06:00)/Zolar Czakl (00:54)/Dog Breath, In The Year Of The Plague (03:59)/The Legend Of The Golden Arches (03:27)/Louie Louie - Live At The Royal Albert Hall, London/1967 (02:19)/The Dog Breath Variations (01:48)/Sleeping In A Jar (00:50)/Our Bizarre Relationship (01:05)/The Uncle Meat Variations (04:46)/Electric Aunt Jemima (01:46)/Prelude To King Kong (03:38)/God Bless America - Live At The Whisky A Go Go/1968 (01:10)/A Pound For A Brown On The Bus (01:29)/Ian Underwood Whips It Out - Live At The Falkoner Theater, Copenhagen/1967 (05:05)/Mr. Green Genes (03:13)/We Can Shoot You (02:03)/If We'd All Been Living In California (01:13)/The Air (02:57)/Project X (04:49)/Cruisin' For Burgers (02:21)/Uncle Meat Film Excerpt Part I (37:35)/Tengo Na Minchia Tanta (03:46)/Uncle Meat Film Excerpt Part II (03:51)/King Kong Itself (as played by the Mothers in a studio) (00:51)/King Kong (Its Magnificence As Interpreted By Dom DeWild) (01:19)/King Kong (As Motorhead Explains It) (01:44)/King Kong (The Gardner Varieties) (06:20)/King Kong (As Played By 3 Deranged Good Humor Trucks) (00:31)/King Kong (Live On A Flat Bed Diesel In The Middle Of A Race Track At A Miami Pop Festival...The Underwood Remifications) (07:28",https://i.scdn.co/image/ab67616d00001e02aafe320f53908021da2349ba,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock,"Zappa, Frank",0.0
Creedence Clearwater Revival,It Came Out Of The Sky - Live,Willy And The Poor Boys (Expanded Edition),Album,1969-11-02,Down On The Corner (02:46)/It Came Out Of The Sky (02:55)/Cotton Fields (02:57)/Poorboy Shuffle (02:24)/Feelin' Blue (05:06)/Fortunate Son (02:20)/Don't Look Now (02:11)/Midnight Special (04:13)/Side O' The Road (03:24)/Effigy (06:27)/Fortunate Son - Live (02:15)/It Came Out Of The Sky - Live (03:27)/Down On The Corner - Jam With Booker T. (02:48,https://i.scdn.co/image/ab67616d00001e029f39192f9f8ca1c90847b3e5,Classic Rock/Southern Rock/Country Rock,Creedence Clearwater Revival,264.0
Ten Years After,I Can't Live Without Lydia,Stonedhenge,Album,1969-01,"Going To Try (04:51)/I Can't Live Without Lydia (01:23)/Woman Trouble (04:37)/Skoobly-Oobly-Doobob (01:42)/Hear Me Calling (05:44)/A Sad Song (03:23)/Three Blind Mice (00:58)/No Title (08:12)/Faro (01:11)/Speed Kills (03:40)/Hear Me Calling - Mono / Single Version (03:43)/Woman Trouble - US Version (04:49)/I'm Going Home - Live ""Undead"" Single-Edit Version (03:37)/Boogie On (14:26",https://i.scdn.co/image/ab67616d00001e02f672b7db3278a9faf95dcd79,Blues Rock/Psychedelic Rock,Ten Years After,21.0
Jimi Hendrix,Changes - Live,"Band Of Gypsys (50th Anniversary / Live At Fillmore East, 1970)",Album,2020-03-27,Who Knows - Live (09:38)/Machine Gun - Live (12:40)/Changes - Live (05:14)/Power To Love - Live (06:58)/Message To Love - Live (05:25)/We Gotta Live Together - Live (05:49,https://i.scdn.co/image/ab67616d00001e025d3b25e0e779948219602696,Psychedelic Rock/Classic Rock/Acid Rock/Blues Rock,"Hendrix, Jimi",52.0
Franco Battiato,L'animale,Torneremo Ancora,Album,2019-10-18,Torneremo ancora (03:37)/Come un cammello in una grondaia (03:26)/Le sacre sinfonie del tempo (03:41)/Lode all'inviolato (03:07)/L'animale (03:05)/Tiepido aprile (03:14)/Povera patria (03:53)/Te lo leggo negli occhi (03:05)/Perduto amor (02:28)/Prospettiva Nevsky (03:22)/La cura (04:04)/I treni di Tozeur (02:59)/E ti vengo a cercare (03:48)/Le nostre anime (04:06)/L'era del cinghiale bianco - Live (03:26,https://i.scdn.co/image/ab67616d00001e02f9d0ea5a63d6a1403dd13706,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",129.0
Judas Priest,Tyrant,Sad Wings of Destiny,Album,1976-11-26,Victim of Changes (07:53)/The Ripper (02:50)/Dreamer Deceiver (05:53)/Deceiver (02:46)/Prelude (02:02)/Tyrant (04:27)/Genocide (05:50)/Epitaph (03:20)/Island of Domination (04:15,https://i.scdn.co/image/ab67616d00001e020c1643924c7ffa53f4578127,Heavy Metal/Metal/Hard Rock/Glam Metal/Speed Metal,Judas Priest,103.0
Spirit,Gramophone Man,Spirit,Album,1968,Fresh-Garbage (03:11)/Uncle Jack (02:43)/Mechanical World (05:14)/Taurus (02:37)/Girl In Your Eye (03:14)/Straight Arrow (02:50)/Topanga Windows (03:36)/Gramophone Man (03:49)/Water Woman (02:11)/The Great Canyon Fire In General (02:46)/Elijah (10:42)/Veruska (02:50)/Free Spirit (04:26)/If I Had a Woman (03:10)/Elijah - Alternate Take #2 (09:42,https://i.scdn.co/image/ab67616d00001e025d1a4b6171af01aa13363227,Acid Rock/Psychedelic Rock/Progressive Rock/Garage Rock,Spirit,153.0
Banco Del Mutuo Soccorso,Studenti,Storie Invisibili,Album,2025-02-28,Studenti (03:16)/Il Mietitore (03:36)/Il Pittore (03:26)/Non Sono Pazzo (02:56)/L'ultimo Moro Dell'Alhambra (04:28)/Senza Nuvole (03:59)/La Casa Blu (04:41)/Sarà Ottobre (03:41)/Cena Di Natale (02:21)/Spiegami Il Cielo (04:59)/Solo Meraviglia (02:27)/Capo Horn (05:24,https://i.scdn.co/image/ab67616d00001e02cec545590dcb6cf590df5b8f,Progressive Rock/Italian Singer-songwriter/Art Rock,Banco Del Mutuo Soccorso,0.0
